date	AAPL	SPY	TSLA	YELP	MSFT	GOOGL
2024-09-30	231.06707763671875	562.2105102539062	261.6300048828125	35.08000183105469	423.6083068847656	164.69351196289062
2024-10-31	224.03591918945312	557.1935424804688	249.85000610351562	34.13999938964844	400.03070068359375	169.9168243408203
2024-11-30	235.6201171875	590.4208374023438	345.1600036621094	38.220001220703125	417.7090759277344	167.7718963623047
2024-12-31	248.61581420898438	576.21533203125	403.8399963378906	38.70000076293945	415.77569580078125	188.19541931152344
2025-01-31	234.2996826171875	591.6903076171875	404.6000061035156	39.939998626708984	409.4231262207031	202.82952880859375
2025-02-28	240.36160278320312	584.178955078125	292.9800109863281	34.310001373291016	392.38372802734375	169.28639221191406
2025-03-31	220.7720947265625	551.62890625	259.1600036621094	37.029998779296875	371.0343933105469	153.9147186279297
2025-04-30	211.20095825195312	546.8462524414062	282.1600036621094	35.08000183105469	390.673828125	158.05520629882812
2025-05-31	199.88394165039062	581.2127685546875	346.4599914550781	38.16999816894531	455.8537902832031	170.9345245361328
2025-06-30	204.1831512451172	611.0791015625	317.6600036621094	34.27000045776367	492.54119873046875	175.6157989501953
2025-07-31	206.57162475585938	625.1531372070312	308.2699890136719	34.43000030517578	528.2778930664062	191.23117065429688
2025-08-31	231.28562927246094	637.98095703125	333.8699951171875	31.6200008392334	502.55511474609375	212.16796875
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	31.200000762939453	513.7232666015625	242.46942138671875
2025-10-31	269.37493896484375	676.4556274414062	456.55999755859375	32.97999954223633	513.5843505859375	280.46063232421875
2025-11-30	278.0930480957031	677.7747192382812	430.1700134277344	28.90999984741211	488.9082946777344	319.3494873046875
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	30.389999389648438	480.5711364746094	312.392333984375
2026-01-31	258.775634765625	688.3120727539062	430.4100036621094	27.3799991607666	427.577392578125	337.34375
2026-02-28	263.70941162109375	682.3637084960938	402.510009765625	22.290000915527344	391.15484619140625	311.15472412109375
2026-03-31	253.33790588378906	648.6688842773438	371.75	24.739999771118164	368.67596435546875	287.2037353515625
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	27.600000381469727	406.1341552734375	384.3232421875
2026-05-31	311.7911071777344	754.5361328125	435.7900085449219	22.799999237060547	449.3940124511719	379.8687744140625
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	24.520000457763672	372.319091796875	357.14044189453125
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	26.43000030517578	463.8468017578125	355.9012451171875
2026-08-31	316.8500061035156	767.0499877929688	367.95001220703125	22.350000381469727	507.2900085449219	339.13201904296875
